question,answer
"                ""text"": ""That sounds great, could you make a booking for me please?"",","                ""text"": ""What day would you like your booking for?"","
"                ""text"": ""Please book it for Wednesday for 5 people and 5 nights, please."",","                ""text"": ""Booking was successful. Reference number is 5NAWGJDC."","
"                ""text"": ""Thank you, goodbye"",","                ""text"": ""Goodbye. If you think of anything else you need don't hesitate to contact us."","
"                ""text"": ""I would like a taxi from Saint John's college to Pizza Hut Fen Ditton."",","                ""text"": ""What time do you want to leave and what time do you want to arrive by?"","
"                ""text"": ""I want to leave after 17:15."",","                ""text"": ""\nBooking completed! your taxi will be blue honda Contact number is 07218068540"","
"                ""text"": ""Thank you for all the help! I appreciate it."",","                ""text"": ""You are welcome.  Is there anything else I can help you with today?"","
"                ""text"": ""No, I am all set.  Have a nice day.  Bye."",","                ""text"": ""you too! thank you"","
"                ""text"": ""I was robbed a few minutes ago and need assistance."",","                ""text"": ""Please contact the Parkside, Cambridge police station."","
"                ""text"": ""I need the address including postcode of the police station and also the phone number."",","                ""text"": ""Of course. Their address is Parkside, Cambridge postcode CB11JG and phone number is 01223358966."","
"                ""text"": ""Thank you. That's all I needed."",","                ""text"": ""You are more than welcome!\n"","
"                ""text"": ""Ok, have a good day. Goodbye."",","                ""text"": ""You are very welcome. Goodbye."","
"                ""text"": ""Hi. I'm looking for a hotel in the east.  The internet is not needed."",","                ""text"": ""There are no hotels that do not have internet, but 7 which do have it. Do you have a specific price range you'd prefer?"","
"                ""text"": ""no, but it should have free parking, please."",","                ""text"": ""The Express by Holiday Inn Cambridge is in the area and has free parking, would you like more information?"","
"                ""text"": ""Is that a guesthouse or a hotel? I'd really prefer a guesthouse."",","                ""text"": ""It's a hotel. There are 5 guesthouses in the area. Do you prefer cheap or moderate for the price range?"","
"                ""text"": ""The price doesn't really matter. I just need free parking. It doesn't really need to have internet though. "",","                ""text"": ""There are 5 guesthouses that have free parking. Should I book one of them for you?"","
"                ""text"": ""Okay, none of them DON'T offer free wifi? If not, I'll need the address for one that does have wifi, please. Tell me about your favorite."",","                ""text"": ""The allenbell is a guesthouse on the east.  The addres sis 517a coldham lane post code cb13js."","
"                ""text"": ""Great. Can you help me with a train as well? I'm looking to come in from Ely."",","                ""text"": ""What is your destination? And do you have any preference for day, departure or arrival time?"","
"                ""text"": ""I want to go from cambridge to ely, no preference for time but I need to book for 8 people."",","                ""text"": ""There are trains that run every two hours every day starting at 5:50. Do you know what day you'd like to travel?"","
"                ""text"": ""I'm looking for Wednesday , arrive by 11:30 for 8 people Please."",","                ""text"": ""Booking was successful, the total fee is 35.2 GBP payable at the station. You reference number is 7ZCVR4Q3. Can I help you with anything else?"","
"                ""text"": ""No, I don't need anything else right now.  Thank you for your assistance.  Good Bye."",","                ""text"": ""Thank you and enjoy your visit. Have a great day."","
"                ""text"": ""I need to take a train from Norwich, leaving after 21:15."",","                ""text"": ""Where would you like to go to?"","
"                ""text"": ""I would like to go to Ely please."",","                ""text"": ""I don't have any listings for trains leaving Norwich and arriving in Ely. Would you like to try a different departure station?"","
"                ""text"": ""I meant Cambridge please. I would like to arrive in Cambridge on Monday after 21:15."",","                ""text"": ""Ok I will book that for you and get you a confirmation number"","
"                ""text"": ""I don't need anything booked.  I just need to get the arrival time, travel time and price of a train from norwich to cambridge leaving after 21:15."",","                ""text"": ""There are trains arriving at 22:35, 23:35 and 24:35. They are 17.60 pounds and 79 minutes each."","
"                ""text"": ""Great, thanks! I'm also looking for a 4 star hotel in the north. Can you please help with that? "",","                ""text"": ""There are several that meet your criteria. Is there a price range you are interested in?"","
"                ""text"": ""I would like to keep it in the moderate range, please."",","                ""text"": ""I see 7 options. They are all guesthouses. Do you have preferences for internet and parking?"","
"                ""text"": ""I do not have a preference on those things."",","                ""text"": ""Shall I try to start and book you into one?"","
"                ""text"": ""Please book it and provide the reference number."",","                ""text"": ""How many nights will you be staying?"","
"                ""text"": ""Please book the hotel for 4 people and 2 nights.  Thank you."",","                ""text"": ""What day will you be arriving?"","
"                ""text"": ""the same day... monday please."",","                ""text"": ""I apologize, some of our new workers have phobias of the booking system, I booked you at Acorn guest house, the reference number is 04CSEO7Q any other questions?"","
"                ""text"": ""That's all I need for today.  Thanks for your help!"",","                ""text"": ""I'm happy to help, and I hope you enjoy your stay!"","
"                ""text"": ""I am planning a trip to town and want to sight see a bit. Can you let me know some attractions I may be interested in?"",","                ""text"": ""There are 79 attractions in the city. Do you have a specific type of attraction or specific area of the attraction that you are interested in?"","
"                ""text"": ""I'd like something in the centre."",","                ""text"": ""Great! How about All Saints Church? It has fantastic architecture and free entrance. Would you like more information?"","
"                ""text"": ""Could I get the address for it? I would also like an expensive place to eat around it. "",","                ""text"": ""The address is Jesus Lane. What type of food would you like to eat?"","
"                ""text"": ""I'm in the mood for Caribbean food."",","                ""text"": ""Unfortunately, there are no expensive caribbean restaurants in that area. Would you like me to check a different type of cuisine, or another area?"","
"                ""text"": ""Yes, I also love turkish food. Is there something in the center that's expensive? Also, what type of attraction is All Saints Church?"",","                ""text"": ""The Meze Bar Restaurant is an expensive Turkish restaurant in the city centre.  The All Saints Church is an architecture attraction."","
"                ""text"": ""Can I have the phone number, address and postcode for the restaurant please?"",","                ""text"": ""I don't have a phone number available, but the address is 196 Mill Road City Centre, postal code cb13nf. Anything else I can do for you? "","
"                ""text"": ""Great that's all that I needed to know, thank you!"",","                ""text"": ""You're welcome, feel free to contact us about anything else you need."","
"                ""text"": ""I've been injured and need to find a hospital nearby."",","                ""text"": ""The Addenbrookes Hospital is located at Hills Rd., Cambridge. Are you looking for a specific department?"","
"                ""text"": ""No, I just need the general phone number, please."",","                ""text"": ""01223245151, is the number. Do you need anything else?"","
"                ""text"": ""Thank you that will do."",","                ""text"": ""Feel better soon! Have a better night! "","
"                ""text"": ""I need to take a train out of Cambridge, I will be leaving town on Wednesday."",","                ""text"": ""There are 5 trains out of Cambridge on Wednesday. Do you have a departure time in mind? "","
"                ""text"": ""I'd like to go to peterborough and leave after 12:45, I have to attend a meeting beforehand."",","                ""text"": ""TR1879 leaves at 13:06 on Wednesday.  Will that work for you?"","
"                ""text"": ""What is the price of the fair and could you tell me what is the arrival time into Peterborough?"",","                ""text"": ""The price is 16.50 pounds and the train will arrive in Peterborough by 13:56 Wednesday.  Would you like me to book a ticket for you?"","
"                ""text"": ""Yes, one ticket please, can I also get the reference number?"",","                ""text"": ""I booked you one seat on TR1879 departing Cambridge for Peterborough on Wednesday at 13:06, Reference: xu1qlhvw. Can I help further today?"","
"                ""text"": ""I am also looking for a museum in centre. Could you give me the address, postcode and phone number of one? "",","                ""text"": ""The Broughton House Gallery is located at 98 King Street, postcode cb11ln. Their phone number is 01223314960. Is there anything else you need?"","
"                ""text"": ""That's all I need right now. Thanks, you have been very helpful!"",","                ""text"": ""You're welcome, I hope you enjoy your time in Cambridge!"","
"                ""text"": ""I am looking in town  for a hospital with a paediatric clinic"",","                ""text"": ""Addenbrookes Hosptial on Hills Rd. in Cambridge has a paediatric clinic."","
"                ""text"": ""I need the address and phone number and postal code"",","                ""text"": ""Great. Thank you and goodbye."","
"                ""text"": ""I was hoping to see local places while in cambridge. Some entertainment would be great."",","                ""text"": ""i got 5 options. which side is okay for you?"","
"                ""text"": ""It doesn't matter.  Can I have the address of a good one?"",","                ""text"": ""How about funky fun house, they are located at 8 mercers row, mercers row industrial estate."","
"                ""text"": ""Could i also get the phone number and postcode?"",","                ""text"": ""Sure. The phone number is 01223304705, and the postcode is cb58hy. Is there anything else I can assist you with?"","
"                ""text"": ""Yes, I need a restuarant. I want something on the south side. Expensive."",","                ""text"": ""There are many. What kind of food would you like ?"","
"                ""text"": ""Indian food is my favorite! What's the address for the best one?"",","                ""text"": ""Unfortunately, there aren't any Indian restaurants in the south side of town, would you like me to look in other areas?"","
"                ""text"": ""Could you check one more time? Restaurant in the south part of town, expensive, that serves Indian food?"",","                ""text"": ""I'm sorry there doesn't seem to be any expensive Indian restaurants to the south."","
"                ""text"": ""Can you check again for a 3rd time? I really want to eat Indian food. "",","                ""text"": ""Please stop asking to check for the same thing. I have said there is none in the south try a different area."","
"                ""text"": ""Do you have any Indian restaurants in the south in a different price range?"",","                ""text"": ""Hi this is the supervisor. I apologize for the attitude of our staff. We do have taj tandoori, and expensive Indian restaurant in the South. Would you like me to book?"","
"                ""text"": ""Thank you. May I have the address?"",","                ""text"": ""The address is 64 Cherry Hinton Road Cherry Hinton. Can i help you with anything else today?"","
"                ""text"": ""That's all I need, thanks so much for all of your help! Have a great day!"",","                ""text"": ""you are welcome "","
"                ""text"": ""Also, thanks for the apology. I don't need anything else at this time."",","                ""text"": ""Have a great day. good bye."","
"                ""text"": ""I am looking for information about the City Centre North B and B hotel.  Can you help me with that?"",","                ""text"": ""Yes! City Centre North B and B is an inexpensively-priced guesthouse in the north of town at 328A Histon Road. Would you like to book a room?"","
"                ""text"": ""Yes can I book it for 6 people starting on Saturday for 4 nights please?"",","                ""text"": ""They weren't able to accommodate those parameters. Would you like to try a shorter stay?"","
"                ""text"": ""Sure.  Let's try 2 nights.  Thanks. I'll need a reference number, too, please."",","                ""text"": ""The booking for City Centre North B&B has been made, your reference number is 0FAFY5PP."","
"                ""text"": ""Great! I also need a train from bishops stortford to cambridge, please."",","                ""text"": ""I can find one for you. Can you tell me what day you would like to travel, please? "","
"                ""text"": ""The train should arrive by 14:45 and should be on the same day as the hotel booking."",","                ""text"": ""Great, I recommend train TR5108.  It departs at 13:29 and will get you there by 14:07.  Would you like me to book it?"","
"                ""text"": ""Please book that train for me now."",","                ""text"": ""Certainly! How many tickets would you like?"","
"                ""text"": ""I need 6 tickets for the same day."",","                ""text"": ""Booking was successful, the total fee is 48.48 GBP payable at the station .\nReference number is : GSTIN0L6."","
"                ""text"": ""That's all I need today, thank you. "",","                ""text"": ""You're welcome! Lovely day to you."","
"                ""text"": ""I need a place to stay in the north please."",","                ""text"": ""There are 13 places to stay in the north. Do you have any other criteria?"","
"                ""text"": ""I don't want to have to pay for parking."",","                ""text"": ""I have 5 different gueshouses listed. For what day and for how many please?"","
"                ""text"": ""For 3 people starting on Wednesday and staying 2 nights."",","                ""text"": ""There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? "","
"                ""text"": ""Just a guesthouse in the north with free parking. I'll need a reference number then too please."",","                ""text"": ""I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?"","
"                ""text"": ""That's all I need today. Thanks! Bye!"",","                ""text"": ""Thank you for using our system!"","
"                ""text"": ""Hi I am looking for a train to arrive in Cambridge by 08:15."",","                ""text"": ""Certainly, where will you be departing from?"","
"                ""text"": ""I'll be leaving from Bishops Stortford on Monday."",","                ""text"": ""It look like the TR0532 is what you are looking for departing Bishops Stortford at 7:29 and arriving in Cambridge at 8:07. Would you like to book?"","
"                ""text"": ""What is the price for that trip?"",","                ""text"": ""The fare is 10.10 GBP per ticket. "","
"                ""text"": ""I need to make a booking for 2 people and can you find me a place to stay in the north?"",","                ""text"": ""I've booked your tickets for the 7:29 train from Bishops Stortford, reference ZHT6R80S. Can you give me more information about the type of hotel you'd like?"","
"                ""text"": ""I need a cheap hotel with free parking."",","                ""text"": ""There are 10 total hotels, do you have a preference for area?"","
"                ""text"": ""I would prefer the hotel be in the north part of town. "",","                ""text"": ""City centre north b and b and Worth house are both guesthouses and located in the north. Would you like me to book one for you?"","
"                ""text"": ""I don't need to book today, thanks. Can you get me the postcode of one of them? Oh, and please make sure the one you choose has internet!"",","                ""text"": ""The postcode for Worth House is cb41da and yes, it has internet!"","
"                ""text"": ""I will go ahead an book at the Worth House."",","                ""text"": ""OK, great. will it be the same two people as on the train and starting on Monday? or do you have different needs for lodging?"","
"                ""text"": ""Nope, same people."",","                ""text"": ""I'd be happy to book that for you, what day will you be arriving on, and for how many nights?"","
"                ""text"": ""1 person 5 nights please"",","                ""text"": ""Could you clarify if you need the reservation for 1 or 2 people please?"","
"                ""text"": ""I need reservations for 2."",","                ""text"": ""Okay let me see if I can book that for you."","
"                ""text"": ""Actually, I'm all set. Thank you! Bye!"",","                ""text"": ""Okay you sure you will not require a booking?"","
"                ""text"": ""I'm looking for a college type attraction."",","                ""text"": ""There are 18 colleges I have found, would you prefer one in town centre or in the west? "","
"                ""text"": ""I would like to visit on in town centre please."",","                ""text"": ""Sure, we have thirteen options, 10 of which are free. May I suggest king's college, or hughes hall?"","
"                ""text"": ""Okay, may I have their postcode, entrance fee, and phone number? "",","                ""text"": ""Sure, the post code to king's college is cb21st, the entrance fee is free, and phone number 01223331100"","
"                ""text"": ""Can you find an Indian restaurant for me that is also in the town centre?"",","                ""text"": ""Cambridge has 9 options for Indian food in the centre, do you have a specific price range?"","
"                ""text"": ""Can I get the postcode, price range, and phone number of one?"",","                ""text"": ""The first result is Curry Garden, postcode is cb21dp, price range is expensive, phone number is 01223302330. Would you like me to reserve a table for you?"","
"                ""text"": ""No thank you, I'll just give them a call. That's all I needed for now."",","                ""text"": ""Thank you for choosing Cambridge TownInfo Centre. Have a wonderful day!"","
"                ""text"": ""Hi, can you give me some information on places to stay for my upcoming trip?"",","                ""text"": ""Certainly, we have many fine guest houses and hotels in Cambridge. Is there anything specific you were looking for, to help narrow it down?"","
"                ""text"": ""I'm looking for a 2 star hotel with free wifi."",","                ""text"": ""Thanks for that information. What area are you looking to stay in? "","
"                ""text"": ""The area doesn't matter I would like an expensive hotel if you can find one. "",","                ""text"": ""The express by holiday inn cambridge is located in the east and meet your criteria.  Shall I book you a room?"","
"                ""text"": ""Yes, please book me a room for friday."",","                ""text"": ""For how many people?"","
"                ""text"": ""I need it for 2 people please."",","                ""text"": ""And how many nights?"","
"                ""text"": ""5 nights please. And I would need the reference number also. "",","                ""text"": ""Your room at the Express by Holiday Inn Cambridge is all set up for Friday. The reference is 7F6ZIHSZ. Is there anything else I can help you with today?"","
"                ""text"": ""Thank you! I am also looking for a place to go in town. I'm thinking a college in the centre."",","                ""text"": ""Christ's College is located in the centre at saint andrew's street."","
"                ""text"": ""Can I please get their phone number and postcode? "",","                ""text"": ""Their phone number is 01223334900. The postcode is cb23bu. "","
"                ""text"": ""Thanks! I'm going to hanging out at the college late tonight, could you get me a taxi back to the hotel at 2:45?"",","                ""text"": ""Okay I've got a white Honda booked for you to pick you up at 2:45 and take you back to your hotel, their number is 07078899267"","
"                ""text"": ""Thank you. That is all I need."",","                ""text"": ""I hope you enjoy your time in Cambridge!"","
"                ""text"": ""I am looking for a particular restaurant. It is called pizza hut city centre."",","                ""text"": ""It's a cheap italian place in the centre at Regent Street City Centre cb21ab. The phone number is 01223323737. Would you like more info?"","
"                ""text"": ""That sounds like just the place! Can you book me a table for 2 at 19:45 on Thursday?"",","                ""text"": ""You're all set. I've got a table for 2 at 19:45 this Thursday. Your reference number is F3K2PQZZ."","
"                ""text"": ""Ok sounds good. Thank you!"",","                ""text"": ""You are welcome.  Is there anything else I can assist you with today?"","
"                ""text"": ""That is all. Thank you for your help! "",","                ""text"": ""You're welcome. Have a great day."","
"                ""text"": ""I'm so hungry - can you find me a place to eat in the city centre?"",","                ""text"": ""I'm happy to help! There are a great deal of restaurants there. What type of food did you have in mind?"","
"                ""text"": ""I do not not care, it just needs to be expensive. "",","                ""text"": ""fitzbillies restaurant serves british food would that be okay?"","
"                ""text"": ""Yes, may I have the address?"",","                ""text"": ""Sure, they're located at 51 Trumpington Street City Centre. Can I help you with anything else today?"","
"                ""text"": ""Yes, can you help me find a train that can take me from Cambridge to Norwich?"",","                ""text"": ""Certainly. Can you tell me what day you would like to travel?"","
"                ""text"": ""the train should arrive by 13:45 and book for 6 people and give me the reference number please "",","                ""text"": ""I'd be happy to, but can you tell me which day you'd like to travel on?"","
"                ""text"": ""The train should leave on thursday."",","                ""text"": ""The one closest to your desired arrive by time will arrive at 12:55 and depart at 11:36.  Would you like me to book this for you?"","
"                ""text"": ""Yes, please. Could I have the reference number as well?"",","                ""text"": ""I was able to book you 6 tickets for that train. Your reference number is  PSQ9JOOI. Is there anything else I can help with? "","
"                ""text"": ""No, I do not think so. Thank you for your help. "",","                ""text"": ""Okay great, have a good day!"","
"                ""text"": ""Please find me an expensive place to dine on the South side of town"",","                ""text"": ""Sure, we have Chinese, Indian, Italian or Mexican that you could choose from."","
"                ""text"": ""How about chinese."",","                ""text"": ""Okay, how about the good luck chinese food takeaway?  Will that work for you?"","
"                ""text"": ""Yes, that sounds good! Book a table for 3 at 13:45 please. "",","                ""text"": ""I'll be happy to help you with that. What day would you like the reservation for?"","
"                ""text"": ""I'd like to make it for Wednesday. Can you include the reference number?"",","                ""text"": ""Your reservation is all set for Wednesday. Your reference number is 68X7U9IG. Is there anything else I can help you with?"","
"                ""text"": ""I need a hotel in the same price range as the restaurant that has free parking and free wifi for the same group for 3 nights starting from the same day."",","                ""text"": ""Ok and for how many days ?"","
"                ""text"": ""how about 1 nights."",","                ""text"": ""There are 5 results matching your requirements. What area of town would you like?"","
"                ""text"": ""The area does not matter. Just the criteria I stated. It will be starting Wednesday. "",","                ""text"": ""How about the University Arms Hotel? It has free parking and wifi, and it's a 4 star rated hotel."","
"                ""text"": ""If you can book it for my group, I need it for 3 nights starting on Wednesday."",","                ""text"": ""Yes I will book it for you and get a reference number ?"","
"                ""text"": ""I am looking for information in Cambridge."",","                ""text"": ""Sure, what do you need to know?"","
"                ""text"": ""I would like to book a reservation at Caffe Uno."",","                ""text"": ""What day and time do you need the reservation for? And how many people in your group?"","
"                ""text"": ""I need the reservation for 1 person for Friday at 10:15."",","                ""text"": ""Your booking was successful and your table has been reserved! Your reference number is 3UH2KQDP. Can I do anything else for you today?"","
"                ""text"": ""Yes, I need a train on Friday also, going into Cambridge. "",","                ""text"": ""Ok, where from and what time do you want to arrive by?"","
"                ""text"": ""I am leaving peterborough and want to get to cambridge by 08:15"",","                ""text"": ""I can put you on the tr0035 it will get you there by 08:09. How many tickets do you need?"","
"                ""text"": ""Just one.  Can I get the reference number for that?"",","                ""text"": ""Your reference number is E75VHN9I and 16.5 pounds will be payable at the station. Anything else I can do for you?"","
"                ""text"": ""Yes, could you please email or fax me the fare amount, as well as the reference number?"",","                ""text"": ""it will cost you 16.50 pounds and the Reference number is : E75VHN9I."","
"                ""text"": ""Thank you. That is all that I need."",","                ""text"": ""Welcome, it was a pleasure serving you."","
"                ""text"": ""Howdy, I need a train heading into cambridge."",","                ""text"": ""I would be happy to help you find a train.  Where are you departing from?"","
"                ""text"": ""I am departing from norwich.  I need to leave after 18:45 on Wednesday."",","                ""text"": ""I have several options for you. Where is your destination?"","
"                ""text"": ""I will be heading to cabridge"",","                ""text"": ""The earliest after 18:45 is the TR8658, leaving Norwich at 19:16. Can I reserve you one or more seats on this train?"","
"                ""text"": ""yeah, i need one ticket"",","                ""text"": ""Booking was successful, the total fee is 17.6 GBP payable at the station. Your reference number is AXH1NM1I. Do you need assistance with anything else?"","
"                ""text"": ""I am also looking for a multi sport in the East. "",","                ""text"": ""It looks like there is The Cherry Hinton Village Centre.  Can I get you more information about it? "","
"                ""text"": ""I would like to get the phone number, please."",","                ""text"": ""their phone number is 01223576412. anything else?"","
"                ""text"": ""Oh, and what is their postcode, please?"",","                ""text"": ""Sure, the postcode is cb19ej. Can I help you find any other information about Cambridge?"","
"                ""text"": ""That is all for now thank you."",","                ""text"": ""enjoy your time in Cambridge!"","
"                ""text"": ""What can you tell me about the Riverside Brasserie?"",","                ""text"": ""It is a restaurant that serves modern european food near the centre of town. It is moderately priced. The phone number is 01223259988."","
"                ""text"": ""Perfect. Can you help me with a reservation for 6 people at 14:30 this coming sunday? And please make sure I have a confirmation number to use."",","                ""text"": ""Your reservation is set! The table will be reserved for 15 minutes. Your reference number is LZLUDTVI. Is there anything else you need?"","
"                ""text"": ""I'm also looking for a place to stay.  In the south preferably."",","                ""text"": ""What price range were you thinking?"","
"                ""text"": ""No particular price range, but I would like it to be a 4 star hotel. "",","                ""text"": ""There are no hotels that fit your criteria in the South, but there are two Guesthouses. Would you like to book one of those?"","
"                ""text"": ""Sure, that will work. Can you tell me more about them?"",","                ""text"": ""Aylesbray Lodge Guesthouse and Rosa's Bed and Breakfast, both are rated at 4 stars and both include free parking and internet. Would you like a reservation for one of them?"","
"                ""text"": ""Can I get the postcode for both of them?"",","                ""text"": ""Aylesbray postcode is cd17sr and Rosa's postcode is cb22ha. Is there anything else I can help you with today?"","
"                ""text"": ""No thanks. That's all the help I need. Take care. Bye. "",","                ""text"": ""thank you! Enjoy your stay!"","
"                ""text"": ""I am looking for a specific hotel, its name is express by holiday inn cambridge "",","                ""text"": ""I have the Express by Holiday Inn Cambridge located on 15-17 norman way, coldhams business park. Their phone number is 01223866800. Would you like to know anything else?"","
"                ""text"": ""Yes, could you book the hotel room for me for 7 people?"",","                ""text"": ""Yes, of course. What day would you like to stay? "","
"                ""text"": ""Monday, please. There will be 7 of us and we'd like to stay for 4 days."",","                ""text"": ""Here is the booking information:Booking was successful.\nReference number is : 5F8G6J1G"","
"                ""text"": ""Thank you. I would also like to book a train, please."",","                ""text"": ""Sure, which stations will you be traveling between?"","
"                ""text"": ""I will be going from cambridge to birmingham new street."",","                ""text"": ""What time would you like to leave?  The trains depart every hour."","
"                ""text"": ""Whenever will get me there by 17:30. I do need to leave on Friday and I will need the travel time please. "",","                ""text"": ""There are 11 results. Would you prefer the earliest departure time or latest?"","
"                ""text"": ""Hi, I am currently planning to come to Cambridge, and I was looking for a relatively inexpensive place to eat in the centre.  What would you suggest? "",","                ""text"": ""The Gardenia is an excellent and cheap place in the center of town, serving Mediterranean cuisine. Would you like a table there?"","
"                ""text"": ""Yes, please book a table for 1 people at 19:15 on monday."",","                ""text"": ""Booking was successful. The table will be reserved for 15 minutes. Reference number is : IU63HAEN. Is there anything else I can help you with today? "","
"                ""text"": ""Yes. I need a place to stay in the same part of town. It must have free parking."",","                ""text"": ""We have two guesthouses and two hotels that meet your needs. The guesthouses are cheap, and the hotels are expensive. Do you have a preference?"","
"                ""text"": ""I want a place with a 0 star rating"",","                ""text"": ""I have one result. It is el shaddai, which is a cheap guesthouse. Do you want to book it?"","
"                ""text"": ""Yes, can you book the room for me?"",","                ""text"": ""Yes I can but I need to know when your stay is how many people and for the number of rooms."","
"                ""text"": ""Do you have their phone numbers?"",","                ""text"": ""El Shaddai's phone number is 01223327978. Did you want to book a room?"","
"                ""text"": ""No thank you that was all I needed today."",","                ""text"": ""Have a great day. If you need anything else just contact us again."","
"                ""text"": ""Greetings, I need a train leaving on Saturday after 19:45."",","                ""text"": ""There is a train leaving out of cambridge on saturday at 21:00 for 18.88 punds. "","
"                ""text"": ""Is it going to broxbourne?  That is where I am heading."",","                ""text"": ""Actually yes! TR5975 leaves from broxbourne at 21:01. It's 14.32 pounds. Does that work?"","
"                ""text"": ""Yes, that works just fine, can you please book me a reservation?"",","                ""text"": ""Of course, how many tickets would you like me to book?"","
"                ""text"": ""Just one, please. I'm also looking for colleges in the centre of town."",","                ""text"": ""Your train has been booked with ref. num. WIDHBP94. Sure, information on colleges: There are 13 in the central district; do you want one with free entry? Religious or secular?"","
"                ""text"": ""I just am looking for one in the centre, can I get the phone number of one?"",","                ""text"": ""Yes. Downing college is free and the phone number is 01223334860."","
"                ""text"": ""Ok, thank you, that will be all I need for now."",","                ""text"": ""You are very welcome. Have a safe trip!"","
"                ""text"": ""I am looking for a restaurant that sell seafood,will prefer one in the center of the city."",","                ""text"": ""I'm sorry, there seems to be an error. Can you please restate your request?"","
"                ""text"": ""I would like a train into Cambridge from Stevenage."",","                ""text"": ""Is there a specific day and time you would like to travel at?"","
"                ""text"": ""Yes, I'd like to travel on Wednesday. I'll need to arrive by 8:00. "",","                ""text"": ""The TR9448 arrives at 06:43. Would you like me to book a ticket for you?"","
"                ""text"": ""Yes, please book 7 seats."",","                ""text"": ""All set. You are booked for 7 people on TR9448. You reference number is B1Q6DDTE. Can I help with anything else?"","
"                ""text"": ""Yes, I need a hotel as well."",","                ""text"": ""ok for how many people and when are you planning your stay?"","
"                ""text"": ""Whoa whoa, easy there tiger, Lets narrow the search down first.  In the center, 0 stars, cheap and it can be a hotel or guesthouse.   "",","                ""text"": ""How about el shaddai? Fits your request perfectly."","
"                ""text"": ""Is El Shaddai a guest house or hotel?"",","                ""text"": ""El Shaddai is a guesthouse. Anything other questions about them? "","
"                ""text"": ""Do they have parking?"",","                ""text"": ""Yes, they have free parking. Would you like me to book you a room?"","
"                ""text"": ""No, I don't need to. I was just curious about it. Thank you for all of your help."",","                ""text"": ""Okay, is there anything else I can help you with?"","
