question,answer
what is the address of chiquito restaurant bar?,2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton
what type of dishes are served at rice house?,rice house serve a variety of popular chinese dishes at their restaurant
what is the address of rice house?,88 Mill Road City Centre
what type of dishes are served at varsity restaurant?,the varsity restaurant serves a variety of international and vegetarian dishes and can cater for private parties of up to 40 guests upon request
what is darrys cookhouse and wine shop?,darrys cookhouse and wine shop is an award winning drinking and dining restaurant and bar in the centre of cambridge
what is the address of varsity restaurant?,35 Saint Andrews Street City Centre
what is the address of darrys cookhouse and wine shop?,40270 King Street City Centre
what type of dishes are served at the golden curry?,the golden curry serves a variety of authentic indian dishes at their fully licensed restaurant
what is the address of the golden curry?,Mill Road City Centre
what is the speciality of cocum?,cocum specialises in south indian cuisine using spices meat and vegetables from the kerala region there is also a take away option
what is the address of cocum?,71 Castle Street City Centre
what type of dishes are served at the rice boat?,the rice boat serves an authentic kind of indian cuisine that originates from the villages of kerala where the spice trade originated
what is the address of the rice boat?,37 Newnham Road Newnham
what type of dishes are served at maharajah tandoori?,maharajah tandoori restaurant serve a variety of indian and tandoori dishes at their restaurant catering for private parties of up to 40 guests is available upon request
what is the address of maharajah tandoori?,41518 Castle Street City Centre
what type of dishes are served at thanh binh?,thanh binh serve a variety of vietnamese dishes as well as selling an assortment of tea and coffees
what is the address of thanh binh?,17 Magdalene Street City Centre
what is la tasca?,la tasca is a spanish tapas restaurant and bar offering over 30 tapas dishes
what type of dishes are served at da Vinci pizzeria?,da Vinci pizzeria serve an extensive range of pizza and italian dishes as well as some vegetarian options a takeaway and delivery service is also available
what is the address of da Vinci pizzeria?,20 Milton Road Chesterton
what type of dishes are served at ugly duckling?,ugly duckling serves a variety of chinese dishes to eat in or take away they also offer 10 percent discount on takeaway orders
what is the address of ugly duckling?,12 St. Johns Street City Centre
what is the address of carolina bed and breakfast?,138 perne road
what is the phone number of carolina bed and breakfast?,1223247015
what is the pricerange of carolina bed and breakfast?,moderate
what is the address of city centre north b and b?,328a histon road
what is the pricrange of city centre north b and b?,cheap
what is the phone number city centre north b and b?,1223312843
what is the address of cityroomz?,"sleeperz hotel, station road"
what is the phone number of cityroomz?,1223304050
what is the pricrange of cityroomz?,moderate
what is the address of el shaddai?,41 warkworth street
what is the phone number of el shaddai?,1223327978
what is the address of finches bed and breakfast?,144 thornton road
what is the phone number of finches bed and breakfast?,1223276653
what is the phone number of gonville hotel?,1223366611
what is the pricerange of gonville hotel?,expensive
what is the address of hamilton lodge?,156 chesterton road
what is the phone number of hamilton lodge?,1223365664
what is the address of hobsons house?,96 barton road
what is the phone number of hobsons house?,1223304906
what is the pricerange of hobsons house?,moderate
what is the address of huntingdon marriott hotel?,"kingfisher way, hinchinbrook business park, huntingdon"
what is the address of kirkwood house?,172 chesterton road
what type of dishes are served at cooper kettle?,"the copper kettle serve a variety of english dishes at their restaurant including full english breakfasts lunches, roast dinners and baked potatoes. a takeaway menu is also provided"
what type of dishes are served at fitzbillies?,"fitzbillies restaurant serves a variety of bistro style lunches, anglo-european a la carte evening meals, as well as teas coffees and cakes throughout the day. catering for private parties is available upon request"
what type of dishes are served at maze?,meze is a restaurant and bar that serves tasty and fresh turkish cuisine set in an informal relaxed atmosphere the bar area also serves a wide range of beers wines and spirits
what type of dishes are served at dojo noodle bar?,dojo noodle bar serves a variety of japanese chinese vietnamese korean and malaysian dishes to eat in or take away sister restaurant to touzai
what type of dishes are served at la margherita?,la margherita serve a variety of italian and vegetarian dishes at their restaurant
what type of dishes are served at yippee noodle bar?,yippee noodle bar serves a variety of oriental and vegetarian dishes at their restaurant they also have a bar area and offer a take away service
what type of restaurant is cotto?,cotto is a restaurant cafe and bakery all rolled in to one. The restaurant upstairs is open for dinner from wednesday to saturday consisting of one menu of between three to five dishes tailored to the day the cafe and bakery offer cakes and other delicacies
what type of dishes are served at j restaurant?,j restaurant offers a wide variety of sushi noodles and dim sum to eat in or takeaway a home delivery service is also available
what type of dishes are served at bedouin?,bedouin serves algerian cuisine
what type of dishes are served at the gardenia?,the gardenia serves a variety of authentic greek and mediterranean dishes at their restaurant catering for private parties of up to two five guests is available upon request
what type of dishes are served at pipasha restaurant?,pipasha restaurant serves a variety of indian dishes to eat in or take away a delivery service is also available
what type of dishes are served at the gandhi?,the gandhi serves a variety of indian and bangladeshi dishes at their restaurant to eat in or take away. Catering for private parties of up to 140 guests is available upon request
what type of dishes are served at the golden wok?,the golden wok serves a variety of traditional chinese meals including sweet and sour dishes as well as rice and noodles
what type of dishes are served at the saffron?,the saffron brasserie serve a variety of dishes from their contemporary indian and bangladeshi menu. Catering for private parties of up to 100 guests is available upon request
what type of dishes are served at shanghai family restaurant?,shanghai family restaurant comprises a french cafe on the lower level and a chinese restaurant upstairs
what type of dishes are served at la loch fyne?,"using the freshest seafood from the loch of the same name, loch fyne restaurants serve a variety of shellfish and smoked fish all of which are complimented by an extensive wine list. Non-seafood dishes are also available"
what is the speciality of pizza express?,"the simple menu and kitchen concept at pizza express has retained its freshly made ideal, and you can still watch your pizza being prepared for you. This branch has live jazz music"
what is the phone number of carolina bed and breakfast?,the phone number of carolina bed and breakfast is 01223247015
what is the address of carolina bed and breakfast?,138 perne road
what is the address of city centre north b and b?,328a histon road
what is the address of cityroomz?,"sleeperz hotel, station road"
what is the address of el shaddai?,41 warkworth street
what is the address of express by holiday inn cambridge?,"15-17 norman way, coldhams business park"
what is the address of rosa's bed and breakfast?,53 roseford road
what is the address of the cambridge belfry?,"back lane, cambourne"
what is the adddress of worth house?,152 chesterton road
what is the address of wandlebury country park?,"wandlebury ring, gog magog hills, babraham"
what is the address of whale of a time?,"unit 8, viking way, bar hill"
what is the address of whipple museum of the history of science?,free school lane
